Methods,PPV/Precision,Recall,F1-Score,MCC,Median F1 Score ¡À Std,P-value
PETcoFold,0.352,0.123,0.182,0.207,0.086 ¡À 0.193,8.04E-13
UFoldc,0.455,0.538,0.493,0.493,0.478 ¡À 0.254,3.88E-06
SPOT-RNA,0.593,0.462,0.519,0.522,0.496 ¡À 0.256,7.76E-05
RNAfoldc,0.51,0.53,0.52,0.518,0.510 ¡À 0.259,2.04E-05
PairFold,0.557,0.49,0.521,0.521,0.503 ¡À 0.287,0.0005
MXfold2c,0.532,0.522,0.527,0.526,0.454 ¡À 0.254,0.0001
RNAcoFold,0.566,0.521,0.543,0.542,0.510 ¡À 0.272,0.0005
RNAmultifold,0.566,0.521,0.543,0.542,0.510 ¡À 0.272,0.0005
SPOT-RNAc,0.654,0.469,0.546,0.552,0.541 ¡À 0.271,0.0035
EternaFold,0.549,0.548,0.548,0.547,0.552 ¡À 0.261,0.0005
SPOT-RNA2,0.597,0.618,0.607,0.606,0.606 ¡À 0.283,0.1403
SPOT-RNA2c,0.618,0.637,0.627,0.626,0.586 ¡À 0.261,
