Methods,precision,recall,F1-Score,MCC
RIsearch,0.026,0.129,0.043,0.054
PETcoFold,0.156,0.05,0.076,0.087
RNAaliduplex,0.062,0.109,0.079,0.08
NUPACK,0.073,0.149,0.098,0.102
RNAplex-cA,0.092,0.109,0.1,0.098
RNAfold,0.083,0.149,0.107,0.109
PairFold,0.078,0.218,0.115,0.128
bifold,0.09,0.168,0.117,0.121
RNAup,0.108,0.129,0.118,0.116
IntaRNA2.0,0.155,0.099,0.121,0.123
RNAduplex,0.09,0.277,0.136,0.155
RNAplex-c,0.099,0.277,0.146,0.163
RNAmultifold,0.116,0.218,0.151,0.157
RNAcoFold,0.116,0.218,0.151,0.157
MXfold2c,0.117,0.248,0.159,0.168
DuplexFold,0.106,0.327,0.16,0.184
SPOT-RNA2c,0.129,0.257,0.172,0.18
RNAplex-a,0.197,0.173,0.184,0.183
SPOT-RNAc,0.174,0.282,0.215,0.22
GUUGle,0.264,0.188,0.22,0.222
EternaFold,0.185,0.272,0.22,0.223
UFoldc,0.168,0.381,0.233,0.251
AccessFold,0.302,0.376,0.335,0.335
