Methods,precision,recall,F1-Score,MCC,Individual F1-Score Median ¡À Std,P-value
GUUGle,0.432,0.284,0.343,0.346,0.000 ¡À 0.352,3.92E-05
RNAaliduplex,0.765,0.273,0.402,0.455,0.312 ¡À0.359,5.11E-05
RNAplex-cA,0.765,0.273,0.402,0.455,0.312 ¡À 0.359,5.11E-05
RNAup,0.465,0.651,0.542,0.547,0.567 ¡À0.251,2.49E-05
RIsearch,0.48,0.635,0.547,0.548,0.765 ¡À 0.362,0.0071
PETcoFold,0.656,0.484,0.557,0.561,0.636 ¡À 0.318,0.0016
RNAplex-a,0.654,0.505,0.57,0.572,0.615 ¡À 0.266,0.0004
RNAduplex,0.483,0.708,0.574,0.581,0.833 ¡À 0.313,0.042
DuplexFold,0.534,0.686,0.601,0.602,0.833 ¡À 0.323,0.0684
RNAplex-c,0.545,0.686,0.607,0.609,0.833 ¡À 0.322,0.0648
MXfold2c,0.577,0.738,0.648,0.65,0.800 ¡À 0.279,0.0375
RNAfoldc,0.586,0.735,0.652,0.654,0.800 ¡À 0.284,0.0265
AccessFold,0.632,0.7,0.664,0.663,0.780 ¡À 0.259,0.0164
EternaFoldc,0.619,0.719,0.665,0.664,0.800 ¡À 0.284,0.0204
NUPACK,0.657,0.678,0.667,0.665,0.833 ¡À 0.309,0.0581
RNAmultifold,0.626,0.716,0.668,0.667,0.833 ¡À 0.283,0.0416
RNAcoFold,0.626,0.716,0.668,0.667,0.833 ¡À 0.283,0.0416
UFoldc,0.642,0.697,0.668,0.666,0.800 ¡À 0.285,0.0258
PairFold,0.641,0.708,0.673,0.671,0.833 ¡À 0.292,0.0762
IntaRNA2.0,0.687,0.665,0.676,0.674,0.833 ¡À 0.342,0.045
SPOT-RNA2c,0.67,0.703,0.686,0.684,0.780 ¡À 0.267,0.0386
bifold,0.7,0.7,0.7,0.698,0.833 ¡À 0.286,0.0676
SPOT-RNAc,0.728,0.732,0.73,0.729,0.815 ¡À 0.219,
