Methods,PPV/Precision,Sensitivity/Recall,Overall F1 Score,MCC,Median F1 Score ¡À Std,P-value
GUUGle,0.374,0.265,0.31,0.312,0.000 ¡À 0.348,1.37E-05
RNAaliduplex,0.719,0.323,0.446,0.48,0.471 ¡À 0.353,0.0004
RNAplex-cA,0.719,0.323,0.446,0.48,0.471 ¡À 0.353,0.0004
RNAup,0.436,0.613,0.51,0.513,0.565 ¡À 0.291,2.45E-05
PETcoFold,0.631,0.478,0.544,0.547,0.635 ¡À 0.350,0.0086
RIsearch,0.523,0.597,0.558,0.556,0.552 ¡À 0.380,0.0011
RNAplex-a,0.613,0.529,0.568,0.567,0.652 ¡À 0.274,0.0021
AccessFold,0.553,0.604,0.577,0.576,0.667 ¡À 0.371,0.0137
RNAduplex,0.494,0.707,0.582,0.588,0.667 ¡À 0.315,0.0081
DuplexFold,0.517,0.714,0.6,0.605,0.765 ¡À 0.318,0.0301
RNAfoldc,0.533,0.693,0.603,0.605,0.714 ¡À 0.331,0.0160 
RNAplex-c,0.531,0.705,0.606,0.609,0.667 ¡À 0.310,0.0086
NUPACK,0.609,0.677,0.641,0.64,0.765 ¡À 0.325,0.0220 
MXfold2c,0.571,0.732,0.642,0.644,0.759 ¡À 0.305,0.0232
RNAcoFold,0.595,0.709,0.647,0.647,0.675 ¡À 0.302,0.0158
RNAmultifold,0.595,0.709,0.647,0.647,0.675 ¡À 0.302,0.0158
UFoldc,0.594,0.714,0.648,0.649,0.765 ¡À 0.298,0.0080 
IntaRNA2.0,0.704,0.609,0.653,0.652,0.765 ¡À 0.386,0.0280 
EternaFoldc,0.617,0.719,0.664,0.664,0.765 ¡À 0.316,0.0292
SPOT-RNA2c,0.621,0.716,0.665,0.665,0.759 ¡À 0.288,0.0080 
PairFold,0.637,0.703,0.668,0.667,0.765 ¡À 0.305,0.0388
bifold,0.641,0.703,0.671,0.669,0.765 ¡À 0.307,0.0473
SPOT-RNAc,0.722,0.714,0.718,0.716,0.780 ¡À 0.283,
