Methods,precision,recall,F1-Score,MCC,Individual F1-Score Median ¡À Std,P-value
PETcoFold,0.813,0.164,0.273,0.364,0.000 ¡À 0.339,2.25E-07
PairFold,0.616,0.305,0.408,0.431,0.441 ¡À 0.306,1.04E-05
EternaFoldc,0.516,0.342,0.411,0.417,0.550 ¡À 0.341,0.0001
SPOT-RNAc,0.85,0.296,0.439,0.5,0.338 ¡À 0.277,1.21E-06
MXfold2c,0.686,0.337,0.452,0.478,0.399 ¡À 0.293,2.81E-05
UFoldc,0.742,0.372,0.496,0.523,0.492 ¡À 0.280,4.12E-05
RNAcoFold,0.857,0.383,0.529,0.571,0.538 ¡À 0.312,0.0001
RNAmultifold,0.857,0.383,0.529,0.571,0.538 ¡À 0.312,0.0001
RNAfoldc,0.735,0.452,0.56,0.574,0.662 ¡À 0.345,0.0006
SPOT-RNA2c,0.737,0.458,0.565,0.579,0.586 ¡À 0.271,0.0001
SPOT-RNA,0.72,0.514,0.6,0.606,0.600 ¡À 0.256,0.0005
SPOT-RNA2,0.794,0.725,0.758,0.757,0.744 ¡À 0.248,
