Methods,precision,recall,F1-Score,MCC,Individual F1-Score Median ¡À Std,P-value
PETcoFold,0.271,0.122,0.168,0.18,0.000 ¡À 0.190,0.0095
PairFold,0.267,0.258,0.262,0.26,0.000 ¡À 0.211,0.0063
EternaFoldc,0.357,0.286,0.318,0.317,0.000 ¡À 0.225,0.0183
RNAfoldc,0.347,0.324,0.335,0.333,0.000 ¡À 0.238,0.0199
SPOT-RNA,0.434,0.296,0.352,0.356,0.000 ¡À 0.265,0.0593
UFoldc,0.372,0.347,0.359,0.357,0.000 ¡À 0.256,0.0269
MXfold2c,0.395,0.362,0.378,0.375,0.000 ¡À 0.246,0.0307
RNAcoFold,0.504,0.31,0.384,0.393,0.000 ¡À 0.257,0.0194
RNAmultifold,0.504,0.31,0.384,0.393,0.000 ¡À 0.257,0.0194
SPOT-RNA2,0.358,0.455,0.401,0.401,0.000 ¡À 0.275,0.0962
SPOT-RNAc,0.564,0.31,0.4,0.416,0.000 ¡À 0.284,0.0966
SPOT-RNA2c,0.443,0.488,0.464,0.463,0.231 ¡À 0.263,
