Methods,PPV,Recall,F1,MCC
NUPACK,0.698,0.797,0.744,0.744
GUUGle,0.433,0.318,0.367,0.367
RNAaliduplex,0.647,0.331,0.438,0.46
RNAplex-cA,0.647,0.331,0.438,0.46
RNAup,0.464,0.764,0.577,0.592
RIsearch,0.472,0.744,0.578,0.589
RNAduplex,0.469,0.807,0.593,0.611
RNAplex-a,0.676,0.561,0.613,0.613
PETcoFold,0.684,0.561,0.616,0.617
DuplexFold,0.559,0.78,0.651,0.657
RNAplex-c,0.572,0.78,0.66,0.665
PairFold,0.634,0.807,0.71,0.713
UFoldc,0.659,0.793,0.72,0.721
bifold,0.684,0.793,0.734,0.734
RNAfoldc,0.672,0.82,0.739,0.74
EternaFoldc,0.684,0.816,0.744,0.745
RNAmultifold,0.702,0.797,0.746,0.746
RNAcoFold,0.702,0.797,0.746,0.746
SPOT-RNA2c,0.71,0.787,0.747,0.745
IntaRNA2.0,0.713,0.8,0.754,0.754
MXfold2c,0.684,0.839,0.754,0.756
AccessFold,0.696,0.826,0.755,0.757
SPOT-RNAc,0.736,0.823,0.777,0.777
