Methods,PPV,Recall,F1,MCC
GUUGle,0.159,0.107,0.128,0.129
RIsearch,0.176,0.257,0.209,0.211
RNAplex-cA,0.477,0.151,0.229,0.267
RNAaliduplex,0.484,0.151,0.23,0.269
DuplexFold,0.182,0.458,0.26,0.287
RNAplex-c,0.189,0.45,0.266,0.29
RNAduplex,0.195,0.5,0.281,0.311
RNAup,0.282,0.364,0.318,0.319
RNAplex-a,0.364,0.29,0.323,0.324
AccessFold,0.317,0.504,0.389,0.398
PETcoFold,0.434,0.372,0.401,0.401
RNAfoldc,0.381,0.585,0.461,0.471
NUPACK,0.442,0.484,0.462,0.462
bifold,0.409,0.563,0.474,0.479
MXfold2c,0.389,0.608,0.474,0.485
UFoldc,0.419,0.547,0.475,0.478
PairFold,0.424,0.565,0.484,0.488
IntaRNA2.0,0.54,0.444,0.487,0.489
RNAmultifold,0.42,0.585,0.489,0.495
RNAcoFold,0.421,0.585,0.49,0.496
EternaFoldc,0.437,0.625,0.514,0.521
SPOT-RNA2c,0.57,0.543,0.556,0.555
SPOT-RNAc,0.628,0.554,0.589,0.589
