Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
IntaRNA2.0,0.188,0.121,0.147,0.15,0.000 ± 0.237,0.012
MXfold2c,0.169,0.318,0.221,0.231,0.245 ± 0.212,0.03
bifold,0.19,0.306,0.234,0.24,0.239 ± 0.239,0.072
PairFold,0.204,0.299,0.243,0.247,0.202 ± 0.217,0.029
RNAmultifold,0.195,0.344,0.249,0.258,0.245 ± 0.242,0.081
RNAcoFold,0.195,0.344,0.249,0.258,0.245 ± 0.242,0.081
UFoldc,0.196,0.382,0.259,0.273,0.281 ± 0.172,0.075
EternaFoldc,0.22,0.357,0.272,0.28,0.277 ± 0.203,0.05
SPOT-RNA2c,0.297,0.331,0.313,0.313,0.281 ± 0.234,0.237
SPOT-RNAc,0.372,0.369,0.37,0.37,0.347 ± 0.188,
