Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
UFoldc,0.376,0.437,0.404,0.405,0.405 ± 0.273,0.024
bifold,0.351,0.495,0.411,0.416,0.386 ± 0.299,0.075
PairFold,0.358,0.489,0.413,0.418,0.337 ± 0.321,0.054
IntaRNA2.0,0.476,0.367,0.414,0.417,0.331 ± 0.354,4.07e-3
MXfold2c,0.337,0.546,0.417,0.428,0.402 ± 0.292,0.043
RNAmultifold,0.371,0.514,0.431,0.436,0.464 ± 0.304,0.090
RNAcoFold,0.373,0.514,0.432,0.437,0.464 ± 0.304,0.090
EternaFoldc,0.384,0.567,0.458,0.466,0.474 ± 0.293,0.295
SPOT-RNA2c,0.578,0.436,0.497,0.501,0.480 ± 0.319,0.051
SPOT-RNAc,0.588,0.448,0.509,0.513,0.534 ± 0.325,
