Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
NUPACK,0.059,0.129,0.081,0.084,0.000 ± 0.281,0.182
RIsearch,0.021,0.105,0.035,0.042,0.000 ± 0.171,0.036
RNAaliduplex,0.032,0.058,0.041,0.041,0.000 ± 0.178,0.031
RNAplex-cA,0.051,0.058,0.054,0.053,0.000 ± 0.178,0.031
RNAfoldc,0.064,0.129,0.086,0.088,0.000 ± 0.205,0.054
bifold,0.077,0.152,0.102,0.106,0.000 ± 0.278,0.213
PairFold,0.07,0.211,0.105,0.118,0.000 ± 0.266,0.234
MXfold2c,0.091,0.216,0.128,0.138,0.000 ± 0.287,0.189
RNAup,0.125,0.152,0.137,0.136,0.000 ± 0.346,0.264
RNAmultifold,0.101,0.211,0.137,0.143,0.000 ± 0.309,0.309
RNAcoFold,0.101,0.211,0.137,0.143,0.000 ± 0.309,0.309
RNAduplex,0.097,0.281,0.144,0.162,0.000 ± 0.300,0.328
RNAplex-c,0.097,0.281,0.144,0.162,0.000 ± 0.293,0.313
IntaRNA2.0,0.176,0.129,0.149,0.149,0.000 ± 0.288,0.048
PETcoFold,0.3,0.105,0.156,0.177,0.000 ± 0.161,0.028
RNAplex-a,0.165,0.158,0.161,0.159,0.000 ± 0.252,0.129
SPOT-RNA2c,0.116,0.269,0.162,0.174,0.000 ± 0.313,0.32
DuplexFold,0.109,0.339,0.165,0.189,0.000 ± 0.295,0.381
SPOT-RNAc,0.151,0.287,0.198,0.206,0.000 ± 0.310,0.334
EternaFoldc,0.168,0.275,0.209,0.213,0.000 ± 0.318,0.367
UFoldc,0.165,0.38,0.23,0.248,0.175 ± 0.281,0.46
GUUGle,0.351,0.269,0.305,0.306,0.000 ± 0.369,0.527
AccessFold,0.312,0.456,0.37,0.376,0.246 ± 0.290,
