Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
GUUGle,0.159,0.107,0.128,0.129,0.000 ± 0.241,6.73e-15
RIsearch,0.176,0.257,0.209,0.211,0.000 ± 0.319,1.52e-12
RNAplex-cA,0.477,0.151,0.229,0.267,0.000 ± 0.296,1.70e-11
RNAaliduplex,0.484,0.151,0.23,0.269,0.000 ± 0.296,1.70e-11
DuplexFold,0.182,0.458,0.26,0.287,0.200 ± 0.344,7.25e-8
RNAplex-c,0.189,0.45,0.266,0.29,0.216 ± 0.343,1.56e-8
RNAduplex,0.195,0.5,0.281,0.311,0.229 ± 0.329,1.52e-8
RNAup,0.282,0.364,0.318,0.319,0.000 ± 0.290,1.21e-12
RNAplex-a,0.364,0.29,0.323,0.324,0.000 ± 0.331,2.25e-9
AccessFold,0.317,0.504,0.389,0.398,0.349 ± 0.315,4.84e-6
PETcoFold,0.434,0.372,0.401,0.401,0.377 ± 0.352,8.64e-5
RNAfoldc,0.381,0.585,0.461,0.471,0.446 ± 0.318,0.006
NUPACK,0.442,0.484,0.462,0.462,0.474 ± 0.355,1.89e-3
bifold,0.409,0.563,0.474,0.479,0.454 ± 0.325,0.012
MXfold2c,0.389,0.608,0.474,0.485,0.448 ± 0.320,3.37e-3
UFoldc,0.419,0.547,0.475,0.478,0.460 ± 0.302,2.16e-3
PairFold,0.424,0.565,0.484,0.488,0.500 ± 0.339,0.006
IntaRNA2.0,0.54,0.444,0.487,0.489,0.405 ± 0.377,8.64e-5
RNAmultifold,0.42,0.585,0.489,0.495,0.494 ± 0.326,0.013
RNAcoFold,0.421,0.585,0.49,0.496,0.494 ± 0.326,0.013
EternaFoldc,0.437,0.625,0.514,0.521,0.498 ± 0.314,0.081
SPOT-RNA2c,0.57,0.543,0.556,0.555,0.529 ± 0.329,0.006
SPOT-RNAc,0.628,0.554,0.589,0.589,0.615 ± 0.325,
