Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
PETcoFold,0.114,0.04,0.059,0.064,0.000 ± 0.136,0.031
EternaFoldc,0.125,0.139,0.132,0.126,0.000 ± 0.201,0.059
PairFold,0.365,0.418,0.39,0.387,0.000 ± 0.217,0.036
UFoldc,0.662,0.448,0.534,0.542,0.000 ± 0.290,0.113
SPOT-RNAc,0.735,0.428,0.541,0.559,0.000 ± 0.322,0.375
MXfold2c,0.65,0.463,0.541,0.546,0.000 ± 0.291,0.122
SPOT-RNA,0.689,0.453,0.547,0.557,0.000 ± 0.323,0.387
SPOT-RNA2c,0.532,0.622,0.573,0.572,0.333 ± 0.299,0.696
RNAfoldc,0.646,0.527,0.58,0.582,0.000 ± 0.301,0.057
RNAcoFold,0.694,0.507,0.586,0.591,0.000 ± 0.304,0.072
RNAmultifold,0.694,0.507,0.586,0.591,0.000 ± 0.304,0.072
SPOT-RNA2,0.576,0.602,0.589,0.586,0.000 ± 0.333,
