Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
PETcoFold,0.854,0.2,0.324,0.411,0.000 ± 0.333,1.44e-5
MXfold2c,0.601,0.286,0.388,0.411,0.159 ± 0.296,7.55e-5
SPOT-RNAc,0.82,0.273,0.41,0.471,0.053 ± 0.278,1.34e-5
PairFold,0.711,0.295,0.417,0.456,0.289 ± 0.322,1.51e-4
UFoldc,0.667,0.351,0.46,0.481,0.346 ± 0.314,1.60e-4
RNAcoFold,0.821,0.328,0.469,0.517,0.188 ± 0.323,2.83e-4
RNAmultifold,0.821,0.328,0.469,0.517,0.188 ± 0.323,2.83e-4
RNAfoldc,0.643,0.401,0.494,0.505,0.244 ± 0.364,8.83e-4
SPOT-RNA2c,0.69,0.404,0.51,0.525,0.450 ± 0.308,4.19e-4
EternaFoldc,0.746,0.424,0.541,0.56,0.503 ± 0.348,1.93e-3
SPOT-RNA,0.62,0.503,0.555,0.556,0.435 ± 0.306,5.77e-4
SPOT-RNA2,0.717,0.732,0.724,0.722,0.686 ± 0.367,
