Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
PETcoFold,0.338,0.12,0.177,0.2,0.000 ± 0.214,8.41e-15
UFoldc,0.475,0.585,0.524,0.526,0.452 ± 0.278,4.82e-7
RNAfoldc,0.51,0.568,0.537,0.537,0.494 ± 0.284,6.05e-6
PairFold,0.568,0.516,0.541,0.54,0.483 ± 0.306,7.64e-5
SPOT-RNA,0.589,0.505,0.544,0.544,0.486 ± 0.281,1.43e-6
MXfold2c,0.551,0.558,0.554,0.553,0.444 ± 0.290,1.26e-4
RNAcoFold,0.573,0.556,0.564,0.563,0.467 ± 0.303,8.84e-4
RNAmultifold,0.574,0.556,0.565,0.563,0.467 ± 0.303,8.84e-4
EternaFoldc,0.564,0.581,0.572,0.571,0.514 ± 0.291,5.62e-4
SPOT-RNAc,0.663,0.513,0.578,0.582,0.493 ± 0.292,7.62e-4
SPOT-RNA2,0.573,0.622,0.596,0.596,0.489 ± 0.308,0.007
SPOT-RNA2c,0.614,0.658,0.635,0.635,0.560 ± 0.292,
