pdb_chain,NUPACK,AccessFold,bifold,DuplexFold,RNAup,RNAduplex,RNAaliduplex,RNAplex-c,RNAplex-cA,RNAplex-a,IntaRNA2.0,RNAmultifold,PairFold,GUUGle,RIsearch,PETcoFold,RNAcoFold,RNAfoldc,MXfold2c,UFoldc,SPOT-RNA2c,SPOT-RNAc,EternaFoldc
7V01_GU,0.851,0.851,0.851,0.851,0.576,0.851,0.851,0.851,0.851,0.732,0.851,0.851,0.851,0.605,0.741,0.683,0.851,0.851,0.851,0.851,0.851,0.851,0.851
7WAH_RD,0.955,0.955,0.955,0.955,0.712,0.955,0.688,0.955,0.688,0.878,0.955,0.955,0.955,0,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
7XSS_AD,0.846,0.759,0.846,0.846,0.537,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.71,0.537,0.846,0.846,0.759,0.759,0.786,0.71,0.815,0.733
7XT4_ar,0.765,0.765,0.765,0.765,0.565,0.765,0.471,0.765,0.471,0.788,0.765,0.765,0.765,0,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
7Y83_BC,0.941,0.865,0.941,0.941,0.615,0.941,0.381,0.941,0.381,0.581,0.941,0.865,0.941,0,0.941,0.941,0.865,0.865,0.865,0.865,0.821,0.842,0.865
7YNA_BC,0.955,0.955,0.955,0.955,0.737,0.955,0.955,0.955,0.955,0.85,0.955,0.955,0.955,0.824,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
8A22_A4A5,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.229,0.267,0
8A22_B1B2,0,0.196,0.257,0.138,0,0.142,0,0.158,0,0.262,0,0.272,0.219,0,0,0,0.272,0.246,0.259,0.19,0.225,0.271,0.225
1DZ5_CD,0.667,0,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0,0.667,0.667,0.833,0.556,0,0.667,0,0.824,0.645,0.933,0.923,1
5GIO_GH,0.485,0.41,0.485,0.552,0,0.516,0,0.516,0,0.552,0.5,0.485,0.552,0.64,0.372,0.5,0.485,0.444,0.5,0.5,0.533,0.593,0.41
5NRL_2I,0,0.455,0,0,0,0,0.636,0,0.636,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
5Y88_EF,0.8,0,0.8,0.8,0.541,0.667,0.737,0.621,0.737,0.696,0.8,0.8,0.8,0,0,0.833,0.8,0.714,0.741,0.783,0.522,0.667,0.692
5ZWM_GH,0.452,0,0.714,0.765,0.625,0.541,0,0.541,0,0.2,0.741,0.452,0.714,0,0,0.867,0.452,0.412,0.714,0.595,0.759,0.769,0.786
6IFL_IJ,0.903,0.903,0.903,0.903,0.83,0.903,0.474,0.903,0.474,0.652,0.903,0.903,0.903,0.903,0.903,0.636,0.903,0.903,0.903,0.903,0.903,0.903,0.903
6NUD_HU,0.41,0.4,0.4,0.4,0.348,0.4,0,0.4,0,0.323,0.41,0.4,0.41,0,0.4,0.414,0.4,0.4,0.4,0.4,0.4,0.4,0.4
6O1O_MN,0.833,0.833,0.833,0.833,0.741,0.833,0,0.833,0,0.615,0.833,0.833,0.833,0.741,0.833,0.588,0.833,0.833,0.833,0.833,0.833,0.833,0.833
6O7H_GH,0.8,0.78,0.8,0.8,0.667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.78,0.8
6QX9_62,0.452,0.217,0.387,0.391,0.439,0.391,0,0.391,0,0.667,0,0.533,0.533,0,0,0,0.533,0.348,0.389,0.72,0.467,0.842,0.412
6S91_UV,0.848,0.899,0.848,0.848,0.709,0.848,0,0.848,0,0.588,0.848,0.848,0.848,0,0.848,0.391,0.848,0.899,0.899,0.866,0.87,0.882,0.899
6ZYM_2Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,0,0,0,0,0,0,0
7OQB_I2,0.72,0.667,0.643,0.391,0,0.391,0.514,0.563,0.514,0.593,0.72,0.552,0.552,0,0,0.667,0.552,0.5,0.552,0.563,0.516,0.696,0.516
3SIV_CF,0.64,0,0.64,0.64,0,0.64,0.632,0.64,0.632,0.762,0,0.64,0.64,0,0.552,0,0.64,0.64,0.64,0.6,0.615,0.762,0.64
