rri_chain,pdb_chain,SPOT-RNA,RNAfoldc,SPOT-RNAc,RNAcoFold,RNAmultifold,PairFold,MXfold2c,UFoldc,SPOT-RNA2c,PETcoFold,SPOT-RNA2,EternaFoldc
7WAH_RD,7WAH_R,0,0,0,0,0,0,0,0,0,0,0,0
7Y83_BC,7Y83_B,0,0,0,0,0,0,0,0,0.333,0,0,0
8A22_A4A5,8A22_A4,0.611,0.667,0.686,0.727,0.727,0.6,0.727,0.706,0.703,0.552,0.684,0.6
8A22_A4A5,8A22_A5,0.308,0.048,0.25,0.071,0.071,0,0.208,0.085,0.377,0.35,0.444,0
8A22_B1B2,8A22_B1,0,0.187,0,0,0,0,0.194,0.069,0.231,0,0,0.25
8A22_B1B2,8A22_B2,0.277,0.4,0.366,0.467,0.467,0.235,0.403,0.361,0.574,0.13,0.489,0.358
5GIO_GH,5GIO_G,0,0,0,0,0,0,0,0,0,0,0,0
5GIO_GH,5GIO_H,0,0,0,0,0,0,0,0,0,0,0,0
6O1O_MN,6O1O_M,0,0,0,0,0,0,0,0,0,0,0,0
6G7Z_AB,6G7Z_A,0.538,0.568,0.525,0.568,0.568,0.556,0.582,0.619,0.554,0,0.592,0.541
6G7Z_AB,6G7Z_B,0.741,0.421,0.8,0.421,0.421,0.25,0.4,0.5,0.562,0.435,0.562,0.421
8I3Z_AB,8I3Z_A,0,0,0,0,0,0,0,0,0,0,0,0
8I3Z_AB,8I3Z_B,0,0,0,0,0,0,0,0,0,0,0,0
