Methods,PPV,Recall,F1,MCC,Median ± Std,p-value
GUUGle,0.433,0.318,0.367,0.367,0.000 ± 0.355,1.02e-4
RNAaliduplex,0.647,0.331,0.438,0.46,0.381 ± 0.359,6.00e-4
RNAplex-cA,0.647,0.331,0.438,0.46,0.381 ± 0.359,6.00e-4
RIsearch,0.472,0.744,0.578,0.589,0.781 ± 0.347,0.039
RNAup,0.464,0.764,0.577,0.592,0.615 ± 0.227,2.18e-6
RNAduplex,0.469,0.807,0.593,0.611,0.846 ± 0.301,0.17
RNAplex-a,0.676,0.561,0.613,0.613,0.652 ± 0.271,1.87e-3
PETcoFold,0.684,0.561,0.616,0.617,0.638 ± 0.304,0.01
DuplexFold,0.559,0.78,0.651,0.657,0.846 ± 0.313,0.212
RNAplex-c,0.572,0.78,0.66,0.665,0.846 ± 0.313,0.212
PairFold,0.634,0.807,0.71,0.713,0.846 ± 0.283,0.222
UFoldc,0.659,0.793,0.72,0.721,0.833 ± 0.274,0.166
bifold,0.684,0.793,0.734,0.734,0.846 ± 0.278,0.235
RNAfoldc,0.672,0.82,0.739,0.74,0.833 ± 0.273,0.134
NUPACK,0.698,0.797,0.744,0.744,0.846 ± 0.271,0.374
EternaFoldc,0.684,0.816,0.744,0.745,0.833 ± 0.269,0.125
SPOT-RNA2c,0.71,0.787,0.747,0.745,0.821 ± 0.291,0.066
RNAmultifold,0.702,0.797,0.746,0.746,0.846 ± 0.276,0.131
RNAcoFold,0.702,0.797,0.746,0.746,0.846 ± 0.276,0.131
IntaRNA2.0,0.713,0.8,0.754,0.754,0.846 ± 0.272,0.419
MXfold2c,0.684,0.839,0.754,0.756,0.833 ± 0.210,0.627
AccessFold,0.696,0.826,0.755,0.757,0.833 ± 0.221,0.523
SPOT-RNAc,0.736,0.823,0.777,0.777,0.833 ± 0.249,
