Unnamed: 0,pdb_chain,NUPACK,AccessFold,bifold,RNAaliduplex,DuplexFold,RNAup,RNAduplex,RNAplex-c,RNAplex-a,IntaRNA2.0,RNAmultifold,PairFold,GUUGle,RIsearch,PETcoFold,RNAplex-cA,RNAcoFold,RNAfoldc,MXfold2c,UFoldc,SPOT-RNAc,EternaFoldc,SPOT-RNA2c
0,2IL9_AM,0,0.246,0,0,0.23,0,0,0,0.563,0,0,0,0,0,0,0,0,0,0,0.175,0,0.36,0.088
1,2L1F_AB,0,0.333,0,0,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,0,0,0
2,7KGA_AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2ADT_AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6V9D_BE,0.8,0,0.8,0,0.8,0.8,0.8,0.8,0,0,0.8,0.571,0,0,0,0,0.8,0,0,0.286,0,0.5,0.462
5,6ZDU_CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1DZ5_CD,0.667,0,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0,0.667,0.667,0.833,0.556,0,0.667,0.667,0,0.824,0.645,0.923,1,0.933
7,6JQ5_AB,0,0,0.19,0,0,0,0,0,0,0,0.667,0.5,0.588,0,0.385,0,0.667,0.667,0.667,0.667,0.326,0.651,0.683
8,7JJU_AB,0,0.625,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0.476,0.556,0,0
9,7JRR_AA-2,0,0.667,0,0,0.609,0,0.609,0.538,0,1,0,0,0,0,0,0,0,0,0,0.7,0.545,0,0
10,7JRS_AB,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7JRT_AB,0,0.511,0,0,0.253,0.96,0.282,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5GIO_GH,0.485,0.41,0.485,0,0.552,0,0.516,0.516,0.552,0.5,0.485,0.552,0.64,0.372,0.5,0,0.485,0.444,0.5,0.5,0.593,0.41,0.516
