Unnamed: 0,pdb_chain,MXfold2c,UFoldc,bifold,IntaRNA2.0,PairFold,RNAmultifold,RNAcoFold,EternaFoldc,SPOT-RNA2c,SPOT-RNAc
0,7SBB_XZ,0.871,0.852,0.871,0.871,0.871,0.871,0.871,0.871,0.857,0.857
1,7V01_GU,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851
2,7WAH_RD,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
3,7XSS_AD,0.759,0.786,0.846,0.846,0.846,0.846,0.846,0.733,0.71,0.815
4,7XT4_ar,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
5,7Y83_BC,0.865,0.865,0.941,0.941,0.941,0.865,0.865,0.865,0.821,0.842
6,7YNA_BC,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
7,1DZ5_CD,0.824,0.645,0.667,0,0.667,0.667,0.667,1,0.933,0.923
8,5GIO_GH,0.5,0.5,0.485,0.5,0.552,0.485,0.485,0.41,0.516,0.593
9,6IFL_IJ,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903
10,6NUD_HU,0.4,0.4,0.4,0.41,0.41,0.4,0.4,0.4,0.4,0.4
11,6O1O_MN,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
12,6O7H_GH,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.78
13,6S91_UV,0.899,0.866,0.848,0.848,0.848,0.848,0.848,0.899,0.87,0.882
14,6ZYM_2Y,0,0,0,0,0,0,0,0,0,0
15,3SIV_CF,0.64,0.6,0.64,0,0.64,0.64,0.64,0.64,0.615,0.762
