Unnamed: 0,pdb_chain,NUPACK,AccessFold,bifold,RNAaliduplex,DuplexFold,RNAup,RNAduplex,RNAplex-c,RNAplex-a,IntaRNA2.0,RNAmultifold,PairFold,GUUGle,RIsearch,PETcoFold,RNAplex-cA,RNAcoFold,RNAfoldc,MXfold2c,UFoldc,SPOT-RNAc,EternaFoldc,SPOT-RNA2c
0,7SBB_XZ,0.871,0.871,0.871,0,0.871,0.732,0.871,0.871,0.653,0.871,0.871,0.871,0,0.781,0.638,0,0.871,0.871,0.871,0.852,0.857,0.871,0.857
1,7V01_GU,0.851,0.851,0.851,0.851,0.851,0.576,0.851,0.851,0.732,0.851,0.851,0.851,0.605,0.741,0.683,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851
2,7WAH_RD,0.955,0.955,0.955,0.688,0.955,0.712,0.955,0.955,0.878,0.955,0.955,0.955,0,0.955,0.955,0.688,0.955,0.955,0.955,0.955,0.955,0.955,0.955
3,7XSS_AD,0.846,0.759,0.846,0.846,0.846,0.537,0.846,0.846,0.846,0.846,0.846,0.846,0.71,0.537,0.846,0.846,0.846,0.759,0.759,0.786,0.815,0.733,0.71
4,7XT4_ar,0.765,0.765,0.765,0.471,0.765,0.565,0.765,0.765,0.788,0.765,0.765,0.765,0,0.765,0.765,0.471,0.765,0.765,0.765,0.765,0.765,0.765,0.765
5,7Y83_BC,0.941,0.865,0.941,0.381,0.941,0.615,0.941,0.941,0.581,0.941,0.865,0.941,0,0.941,0.941,0.381,0.865,0.865,0.865,0.865,0.842,0.865,0.821
6,7YNA_BC,0.955,0.955,0.955,0.955,0.955,0.737,0.955,0.955,0.85,0.955,0.955,0.955,0.824,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
7,6IFL_IJ,0.903,0.903,0.903,0.474,0.903,0.83,0.903,0.903,0.652,0.903,0.903,0.903,0.903,0.903,0.636,0.474,0.903,0.903,0.903,0.903,0.903,0.903,0.903
8,6NUD_HU,0.41,0.4,0.4,0,0.4,0.348,0.4,0.4,0.323,0.41,0.4,0.41,0,0.4,0.414,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
9,6O1O_MN,0.833,0.833,0.833,0,0.833,0.741,0.833,0.833,0.615,0.833,0.833,0.833,0.741,0.833,0.588,0,0.833,0.833,0.833,0.833,0.833,0.833,0.833
10,6O7H_GH,0.8,0.78,0.8,0.8,0.8,0.667,0.8,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.8,0.78
11,6S91_UV,0.848,0.899,0.848,0,0.848,0.709,0.848,0.848,0.588,0.848,0.848,0.848,0,0.848,0.391,0,0.848,0.899,0.899,0.866,0.882,0.899,0.87
12,6G7Z_AB,0.545,0.353,0.432,0,0,0.259,0.145,0,0,0.375,0.4,0.429,0,0,0,0,0.4,0.305,0.305,0.207,0.545,0.333,0.424
13,8I3Z_AB,0.312,0.303,0.312,0.312,0.486,0.25,0.36,0.486,0.5,0,0.312,0.25,0.235,0,0.312,0.312,0.312,0.462,0.5,0.5,0.537,0.474,0.129
14,8T2P_AB,0,0.462,0,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0.429,0.036,0,0,0
