pdb_chain,SPOT-RNA,RNAfoldc,SPOT-RNA2,SPOT-RNAc,SPOT-RNA2c,RNAcoFold,RNAmultifold,PairFold,PETcoFold,MXfold2c,UFoldc,EternaFoldc
5GIO_G,0,0,0,0,0,0,0,0,0,0,0,0
5GIO_H,0,0,0,0,0,0,0,0,0,0,0,0
5GMK_L,0.491,0.361,0.52,0.481,0.444,0.423,0.423,0.377,0,0.431,0.407,0.373
5GMK_M,0,0,0,0,0,0,0,0,0,0,0,0
5LJ3_I,0,0,0,0,0,0,0,0,0,0,0,0
5LJ3_Z,0.831,0.72,0.809,0.813,0.82,0.727,0.727,0.72,0,0.742,0.779,0.699
5LQW_2,0.519,0.552,0.593,0.571,0.533,0.417,0.417,0.4,0,0.552,0.552,0.5
5LQW_9,0,0,0,0,0,0,0,0,0,0,0,0
5MQF_2,0.486,0.667,0.43,0.493,0.649,0.676,0.676,0.542,0,0.427,0.456,0.432
5MQF_6,0.313,0.571,0.258,0.444,0.606,0.667,0.667,0.424,0.69,0.545,0.6,0.429
5NRL_2,0.8,0.6515,0.814,0.814,0.763,0.716,0.716,0.716,0,0.701,0.684,0.722
5NRL_4,0.8,0.4,0.873,0.7,0.898,0.4,0.4,0.87,0,0.87,0.375,0.875
5NRL_6,0.545,0.3765,0.486,0.615,0.5605,0.453,0.453,0.4875,0.3285,0.4825,0.4905,0.476
5WSG_E,0.488,0.615,0.732,0.541,0.564,0.615,0.615,0.627,0,0.604,0.571,0.744
5WSG_L,0,0,0,0,0,0,0,0,0,0,0,0
5Y88_D,0.513,0.64,0.7,0.513,0.714,0.64,0.64,0.653,0.133,0.408,0.593,0.627
5Y88_F,0,0,0,0.071,0,0,0,0,0,0,0,0.071
5ZWM_F,0.625,0.494,0.476,0.646,0.571,0.5215,0.5215,0.5275,0,0.555,0.535,0.5145
5ZWM_H,0.643,0.771,0.827,0.728,0.7975,0.806,0.806,0.806,0.11,0.806,0.73,0.773
5ZWM_I,0.756,0.894,0.842,0.7,0.898,0.894,0.894,0.87,0.432,0.87,0.875,0.875
6AH0_F,0.556,0.85,0,0.878,0.8555,0.85,0.85,0.8685,0,0.85,1,0.6545
6AH0_H,0.791,0.727,0.773,0.791,0.694,0.727,0.727,0.744,0.294,0.727,0.586,0.681
6AH0_I,0.696,0.862,0.696,0.735,0.73,0.862,0.862,0.877,0.316,0.676,0.754,0.71
6AHD_G,0,0,0,0,0,0,0,0,0,0,0,0
6AHD_H,0.791,0.681,0.773,0.791,0.756,0.681,0.681,0.681,0.167,0.627,0.516,0.542
6EXN_2,0.853,0.708,0.708,0.8535,0.811,0.6175,0.6175,0.7965,0,0.7215,0.802,0.642
6EXN_6,0.476,0.444,0.698,0.541,0.513,0.444,0.444,0.588,0,0.444,0.593,0.727
6EXN_I,0,0,0,0,0,0,0,0,0,0,0,0
6FF4_2,0.1,0.105,0.1,0.118,0.19,0,0,0,0,0.111,0.1,0.105
6J6G_L,0.699,0.641,0.768,0.673,0.766,0.651,0.651,0.639,0.176,0.656,0.688,0.711
6J6N_L,0.698,0.661,0.721,0.698,0.719,0.661,0.661,0.65,0.092,0.701,0.455,0.683
6O1O_M,0,0,0,0,0,0,0,0,0,0,0,0
6QDV_2,0.706,0.5275,0.522,0.7745,0.782,0.5595,0.5595,0.47,0,0.639,0.484,0.6475
6QDV_6,0.323,0.645,0.303,0.48,0.625,0.645,0.645,0.483,0.714,0.75,0.571,0.69
6QDV_I,0,0,0,0,0,0,0,0,0,0,0,0
6QX9_2,0.773,0.552,0.773,0.756,0.643,0.217,0.217,0.217,0.345,0.78,0.667,0.756
6QX9_4,0.643,0.455,0.586,0.642,0.548,0.462,0.462,0.517,0.391,0.526,0.62,0.508
6ZYM_Y,0,0,0,0,0,0,0,0,0,0,0,0
7ABI_2,0.747,0.707,0.747,0.725,0.81,0.716,0.716,0.543,0,0.707,0.602,0.744
7ABI_6,0.333,0.558,0.267,0.385,0.385,0.75,0.75,0.667,0.857,0.483,0.452,0.5
7B9V_2,0.755,0.864,0.829,0.771,0.87,0.936,0.936,0.909,0,0.911,0.682,0.855
7B9V_6,0.513,0.627,0.7,0.571,0.541,0.78,0.78,0.842,0.364,0.744,0.615,0.667
7D4I_5A,0.571,0.767,0.405,0.712,0.688,0.73,0.73,0.341,0,0.431,0.687,0.787
7D5S_3A,0.459,0.33,0.472,0.444,0.395,0.421,0.421,0.265,0,0.432,0.3,0.421
7D5S_5A,0.681,0.711,0.748,0.692,0.78,0.735,0.735,0.667,0.092,0.719,0.729,0.763
7D5T_3A,0.412,0.072,0.5,0.424,0.357,0.072,0.072,0.072,0,0.463,0.302,0.409
7D5T_5A,0.32,0,0,0.762,0.667,0,0,0,0.762,0,0.571,0.727
7D63_3A,0.426,0.326,0.423,0.444,0.405,0.337,0.337,0.22,0,0.343,0.33,0.373
7D63_5A,0.622,0.577,0.55,0.622,0.655,0.552,0.552,0.36,0,0.444,0.615,0.607
7DCO_F,0.513,0.588,0.769,0.571,0.541,0.732,0.732,0.789,0.294,0.6,0.526,0.625
7DCO_H,0.644,0.558,0.644,0.643,0.612,0.644,0.644,0.624,0.189,0.563,0.558,0.598
7DVQ_G,0,0,0,0,0,0,0,0,0,0,0,0
7DVQ_H,0.522,0.6,0.636,0.632,0.667,0.857,0.857,0.857,0.333,0.857,0.706,0.857
7MQ8_L0,0.326,0.297,0.327,0.325,0.323,0.297,0.297,0.215,0.133,0.295,0.377,0.192
7MQ8_L2,0.509,0.58,0.606,0.544,0.599,0.58,0.58,0.512,0.081,0.403,0.395,0.578
7OQB_2,0.769,0.773,0.796,0.795,0.783,0.773,0.773,0.764,0.131,0.747,0.791,0.764
7PKT_2,0.333,0.267,0.294,0.32,0.357,0.276,0.276,0.64,0,0.276,0.235,0.258
7PKT_3,0.361,0.491,0.779,0.298666667,0.773,0.506,0.506,0.495333333,0.480666667,0.430666667,0.430666667,0.546333333
7PKT_4,0.571,0.5875,0.636,0.6615,0.723,0.6165,0.6165,0.6165,0.4065,0.6165,0.6395,0.593
7PKT_5,0.219,0.294,0.528,0.323,0.526,0.294,0.294,0.455,0.3,0.529,0.434,0.551
7PKT_6,0.5,0.207,0.449,0.421,0.514,0.207,0.207,0.326,0.294,0.372,0.269,0.417
7SUK_L0,0.584,0.684,0.726,0.587,0.719,0.695,0.695,0.646,0,0.619,0.639,0.627
7SUK_L2,0.373,0.222,0.368,0.361,0.298,0.222,0.222,0.289,0,0.329,0.225,0.229
7W59_F,0.323,0.495,0.294,0.3905,0.495,0.5025,0.5025,0.538,0.567,0.475,0.4485,0.4225
7W59_G,0,0,0,0,0,0,0,0,0,0,0,0
7W59_H,0.765,0.55,0.769,0.776,0.703,0.5545,0.5545,0.5495,0,0.7015,0.6715,0.6795
7W5A_F,0.312,0.452,0.294,0.364,0.452,0.467,0.467,0.538,0.467,0.412,0.318,0.467
7W5A_G,0,0,0,0,0,0,0,0,0,0,0,0
7WAH_R,0,0,0,0,0,0,0,0,0,0,0,0
7Y83_B,0,0,0,0,0.333,0,0,0,0,0,0,0
8A22_A2,0,0.348,0,0,0.16,0.444,0.444,0,0,0,0.129,0
8A22_A3,0.277,0.505,0.607,0.289,0.678,0.505,0.505,0.455,0.154,0.38,0.157,0.6
8A22_A4,0.611,0.667,0.684,0.686,0.703,0.727,0.727,0.6,0.552,0.727,0.706,0.6
8A22_A5,0.308,0.048,0.444,0.25,0.377,0.071,0.071,0,0.35,0.208,0.085,0
8A22_B1,0,0.187,0,0,0.231,0,0,0,0,0.194,0.069,0.25
8A22_B2,0.277,0.4,0.489,0.366,0.574,0.467,0.467,0.235,0.13,0.403,0.361,0.358
